Id;EngineSize;FuelType;FuelConsumptionCity;FuelConsumptionHwy;FuelConsumptionComb;FuelConsumptionCombMpg;CO2Emissions
50;4.2;Z;17.6;11;14.6;19;336
51;4.2;Z;21.2;13.4;17.7;16;407
52;5.2;Z;18.2;10.6;14.8;19;347
53;5.2;Z;21.1;13.8;17.8;16;409
54;4.2;Z;15.3;10.9;13.3;21;306
55;4.2;Z;15.2;11.3;13.4;21;308
56;4;Z;15.5;8.8;12.5;23;293
57;3;Z;13.2;9.2;11.4;25;262
58;3;Z;14.6;9.8;12.4;23;285
59;3;Z;13.2;9.2;11.4;25;262
60;3;Z;14.6;9.8;12.4;23;285
61;3;Z;13.3;9.5;11.6;24;267
62;4;Z;14.2;9.7;12.2;23;281
63;4;Z;14.2;9.7;12.2;23;281
64;4;Z;15.8;9.2;12.8;22;300
65;3;Z;14.9;10.1;12.7;22;292
66;2;Z;10.4;7.6;9.1;31;209
67;2;Z;10.4;7.6;9.1;31;209
68;2;Z;11.5;8.8;10.3;27;237
69;2;Z;11.5;8.8;10.3;27;237
70;4;Z;16.3;9.8;13.4;21;314
71;6;Z;18.8;11.5;15.5;18;356
72;4;Z;17.4;10.2;14.2;20;332
73;6;Z;20;12.2;16.5;17;380
74;6;Z;20;12.2;16.5;17;380
75;6;Z;20.3;11.9;16.5;17;388
76;6.8;Z;22.3;14.9;19;15;437
77;2;Z;10;6.5;8.4;34;193
78;2;Z;10.4;6.7;8.7;32;200
79;2;Z;10.2;7;8.8;32;202
80;2;D;7.6;5.5;6.7;42;181
81;2;D;7.6;5.5;6.7;42;181
82;2;Z;10;6.5;8.4;34;193
83;2;Z;10.4;6.7;8.7;32;200
84;2;Z;10.6;7.2;9.1;31;209
85;2;Z;10.6;7.2;9.1;31;209
86;2;Z;10.6;7.2;9.1;31;209
87;3;Z;11.4;7.3;9.6;29;221
88;3;Z;11.8;7.9;10;28;230
89;3;Z;11.7;7.8;9.9;29;228
90;3;Z;11.9;8.3;10.3;27;237
91;3;Z;11.9;8;10.1;28;232
92;2;Z;10;6.5;8.4;34;193
93;2;Z;10.4;6.7;8.7;32;200
94;2;Z;10.6;7.2;9.1;31;209
95;3;Z;11.4;7.3;9.6;29;221
96;3;Z;11.8;7.9;10;28;230
97;3;Z;11.7;7.8;9.9;29;228
98;3;Z;11.9;8.3;10.3;27;237
99;2;Z;10.2;7;8.8;32;202
100;2;Z;10.6;7.2;9.1;31;209
101;3;D;9.2;6.4;7.9;36;213
102;3;Z;11.9;8;10.1;28;232
103;3;Z;12.5;8.6;10.7;26;246
104;4.4;Z;14.4;9.6;12.2;23;281
105;4.4;Z;15;9.8;12.7;22;292
106;3;Z;11.9;8;10.1;28;232
107;4.4;Z;15;9.8;12.7;22;292
108;4.4;Z;14.4;9.6;12.2;23;281
109;4.4;Z;15;9.8;12.7;22;292
110;3;Z;12.5;8.6;10.7;26;246
111;4.4;Z;15;9.8;12.7;22;292
112;4.4;Z;15;9.8;12.7;22;292
113;6;Z;18.7;11.5;15.5;18;356
114;3;Z;9.2;7.1;8.3;34;191
115;3;Z;10.5;7.9;9.3;30;214
116;3;Z;10.5;7.6;9.2;31;212
117;4.4;Z;15;9.8;12.7;22;292
118;4.4;Z;15;9.8;12.7;22;292
119;4.4;Z;17.3;11.5;14.7;19;338
120;4.4;Z;16.2;10.9;13.8;20;317
121;4.4;Z;17.3;11.5;14.7;19;338
122;4.4;Z;16.2;10.9;13.8;20;317
123;4.4;Z;17.3;11.5;14.7;19;338
124;4.4;Z;16.2;10.9;13.8;20;317
125;4.4;Z;17.3;11.5;14.7;19;338
126;4.4;Z;16.2;10.9;13.8;20;317
127;2;Z;10.6;7.2;9.1;31;209
128;3;Z;13.2;8.9;11.3;25;260
129;2;Z;11.2;8.5;10;28;230
130;3;Z;12.6;9.1;11;26;253
131;3;Z;12.9;8.8;11.1;25;255
132;4.4;Z;16.3;10.9;13.9;20;320
133;4.4;Z;18.1;13.7;16.1;18;370
134;3;Z;13.6;9.8;11.9;24;274
135;4.4;Z;16.4;11.3;14.1;20;324
136;2;Z;10.8;7.1;9.1;31;209
137;2;Z;10.4;6.7;8.7;32;200
138;3;Z;13.7;10.1;12.1;23;278
139;3;Z;12.7;9;11;26;253
140;3;Z;13.7;10.1;12.1;23;278
141;3.6;X;14.3;9.9;12.3;23;283
142;3.6;X;14.6;10.2;12.6;22;290
143;1.4;X;9.5;7.2;8.5;33;196
144;1.4;X;10.2;8;9.2;31;212
145;3.6;X;13.7;8.7;11.5;25;264
146;3.6;E;18.4;12.2;15.6;18;250
147;3.6;X;13.7;8.9;11.5;25;264
148;3.6;E;19.4;13;16.5;17;264
149;2.4;X;9.6;6.5;8.2;34;189
150;2;Z;11.5;7.9;9.9;29;228
151;2;Z;11.6;7.5;9.8;29;225
152;2;Z;12.3;8.7;10.7;26;246
153;2.4;X;9.6;6.5;8.2;34;189
154;2;Z;11.5;7.9;9.9;29;228
155;2;Z;11.6;7.5;9.8;29;225
156;2.4;X;11.3;7.4;9.5;30;218
157;2;Z;11.3;7.5;9.6;29;221
158;2;Z;12.1;7.9;10.2;28;235
159;2.5;X;10.5;7.2;9;31;207
160;3.6;X;12.8;8.5;10.9;26;251
161;2;Z;11.8;8.1;10.1;28;232
162;3.6;X;13.1;9;11.3;25;260
163;3.6;X;13.2;8.7;11.2;25;258
164;3.6;X;13.3;9;11.4;25;262
165;2;Z;11.9;7.9;10.1;28;232
166;3.6;X;12.9;8.2;10.8;26;248
167;2;Z;12.6;8.5;10.8;26;248
168;3.6;X;13.1;9;11.3;25;260
169;3.6;Z;15.1;9.9;12.8;22;294
170;3;X;12.7;8.9;11;26;253
171;3.6;X;13.3;8.9;11.3;25;260
172;3;X;12.8;9.1;11.1;25;255
173;3.6;X;13.3;9;11.4;25;262
174;6.2;Z;19.7;12.9;16.6;17;382
175;6.2;Z;16.7;12.5;14.8;19;340
176;6.2;Z;19.7;12.9;16.6;17;382
177;6.2;Z;16.7;12.5;14.8;19;340
178;6.2;Z;19.7;12.9;16.6;17;382
179;6.2;Z;16.7;12.5;14.8;19;340
180;6.2;Z;17;11.8;14.7;19;338
181;6.2;E;23.3;16.1;20.1;14;322
182;6.2;Z;18.8;13.4;16.4;17;377
183;6.2;E;25.7;17.8;22.1;13;354
184;3.6;X;14.3;9.8;12.3;23;283
185;3.6;X;14.8;10.4;12.8;22;294
186;3.6;X;13.6;8.6;11.4;25;262
187;3.6;X;14;9.1;11.8;24;271
188;3.6;Z;14.8;9.8;12.6;22;290
189;3.6;X;13.2;8.7;11.2;25;258
190;3.6;X;14.2;8.6;11.7;24;269
191;3.6;X;12.7;7.9;10.5;27;242
192;6.2;Z;15.3;9.8;12.8;22;294
193;6.2;Z;15;9.9;12.7;22;292
194;6.2;Z;19.7;12.9;16.6;17;382
195;6.2;Z;16.7;12.5;14.8;19;340
196;6.2;Z;14.9;8.5;12;24;276
197;6.2;Z;13.7;8.2;11.2;25;258
198;1.4;X;9.1;6.3;7.8;36;179
199;1.4;X;9.1;6.3;7.8;36;179
200;1.8;X;10.5;6.7;8.8;32;202
201;1.8;X;9.5;6.5;8.2;34;189
202;2;D;8.7;5.1;7.1;40;192
203;1.4;X;9.1;6;7.7;37;177
204;1.4;X;8.4;5.6;7.1;40;163
205;2.4;X;10.5;7.3;9.1;31;209
206;3.6;X;13.9;9.6;12;24;276
207;3.6;E;18.8;13.1;16.2;17;259
208;2.4;X;11.5;8.2;10;28;230
209;3.6;X;14.8;9.9;12.6;22;290
210;3.6;E;19.8;13.6;17;17;272
211;4.3;X;17.1;12.7;15.1;19;347
212;5.3;X;18;13.4;15.9;18;366
213;5.3;E;23.5;17.7;20.9;14;334
214;5.3;X;18.3;14.2;16.5;17;380
215;5.3;E;23.7;18.8;21.5;13;344
216;5.3;X;18.6;13.9;16.5;17;380
217;5.3;E;23.9;18.5;21.5;13;344
218;5.3;X;18.3;14.2;16.5;17;380
219;5.3;E;25.3;19.3;22.6;12;362
220;5.3;X;18.6;13.9;16.5;17;380
221;5.3;E;23.9;18.5;21.5;13;344
222;5.3;X;18.3;14.2;16.5;17;380
223;5.3;E;25.3;19.3;22.6;12;362
224;4.8;X;21.1;14.2;18;16;414
225;6;X;21.9;15;18.8;15;432
226;6;E;30;20.4;25.7;11;411
227;4.8;X;21.3;14.3;18.2;16;419
228;6;X;22.1;15;18.9;15;435
229;6;E;30.2;20.5;25.8;11;413
230;2.5;X;11.3;7.5;9.6;29;221
231;3.6;X;12.6;8.2;10.6;27;244
232;3.6;E;16.7;11.3;14.3;20;229
233;2.4;X;10;7;8.7;32;200
234;2;Z;11.5;7.9;9.9;29;228
235;2.5;X;9.3;6.4;8;35;184
236;2.4;X;12.2;8.6;10.6;27;244
237;2.4;X;11.8;8.3;10.2;28;235
238;4.3;X;13.4;9.9;11.8;24;271
239;4.3;E;18.9;14.2;16.8;17;269
240;5.3;X;14.6;10.3;12.7;22;292
241;5.3;E;19.5;13.7;16.9;17;270
242;6.2;Z;16.3;11.4;14.1;20;324
243;4.3;X;14.2;10.6;12.6;22;290
244;4.3;E;20;15.1;17.8;16;285
245;5.3;X;14.9;10.6;13;22;299
246;5.3;E;19.9;14.2;17.3;16;277
247;6.2;Z;16.4;11.7;14.3;20;329
248;1.4;X;9.1;6.7;8;35;184
249;1.4;X;8.5;6.2;7.5;38;173
250;1.8;X;9.6;6.6;8.3;34;191
251;1.8;X;8.9;6.7;7.9;36;182
252;1.4;X;9.4;7;8.3;34;191
253;1.4;X;8.8;7;8;35;184
254;1.4;X;9.1;6.7;8;35;184
255;1.4;X;8.5;6.2;7.5;38;172
256;1.8;X;9.6;6.6;8.3;34;191
257;1.8;X;8.9;6.7;7.9;36;182
258;1.4;X;9.4;7;8.3;34;191
259;1.4;X;8.8;7;8;35;184
260;1.2;X;7.7;6;6.9;41;159
261;1.2;X;7.6;6;6.9;41;159
262;5.3;X;16;11.1;13.8;20;317
263;5.3;E;21.5;14.6;18.4;15;294
264;5.3;X;16;11.1;13.8;20;317
265;5.3;E;21.5;14.6;18.4;15;294
266;5.3;X;16;11.1;13.8;20;317
267;5.3;E;21.5;14.6;18.4;15;294
268;5.3;X;16;11.1;13.8;20;317
269;5.3;E;21.5;14.6;18.4;15;294
270;3.6;X;14.3;9.9;12.3;23;283
271;3.6;X;14.6;10.2;12.6;22;290
272;1.4;X;9.4;7.1;8.4;34;193
273;1.4;X;9.1;6.8;8.1;35;186
274;1.4;X;10;7.8;9;31;207
275;3.6;X;12.4;7.7;10.3;27;237
276;2.4;X;11.7;8.2;10.1;28;232
277;2.4;X;12.9;8.1;10.7;26;246
278;3.6;X;12.5;8.1;10.5;27;242
279;3.6;E;17;11.2;14.4;20;230
280;2.4;X;11.2;8;9.8;29;225
281;2.4;X;12;7.6;10;28;230
282;3.6;X;12.5;8.1;10.5;27;242
283;3.6;E;17;11.2;14.4;20;230
284;5.7;X;15.8;9.2;12.8;22;294
285;3.6;X;12.8;8.6;10.9;26;251
286;5.7;X;16.1;10;13.4;21;308
287;3.6;X;12.8;8.6;10.9;26;251
288;3.6;E;17.3;11.7;14.8;19;237
289;3.6;X;12.4;7.7;10.3;27;237
290;3.6;E;16.8;10.3;13.9;20;222
291;6.4;Z;16.7;10.3;13.8;20;317
292;3.6;X;14.1;9.5;12;24;276
293;3.6;E;19.7;13.3;16.8;17;269
294;2.4;X;11.2;8;9.8;29;225
295;2.4;X;12;7.6;10;28;230
296;3.6;X;12.5;8.1;10.5;27;242
297;3.6;E;17;11.2;14.4;20;230
298;3.6;X;13.2;8.7;11.2;25;258
299;5.7;X;15.6;10;13.1;22;301
300;5.7;X;15.8;9.2;12.8;22;294
301;6.4;Z;16.8;10.4;13.9;20;320
302;6.4;Z;16.7;10.3;13.8;20;317
303;3.6;X;13.2;8.7;11.2;25;258
304;3.6;X;12.4;7.7;10.3;27;237
305;5.7;X;15.8;9.2;12.8;22;294
306;3.6;X;12.8;8.6;10.9;26;251
307;5.7;X;16.1;10;13.4;21;308
308;3.6;X;12.8;8.6;10.9;26;251
309;3.6;E;17.3;11.7;14.8;19;237
310;3.6;X;13.2;8.7;11.2;25;258
311;3.6;E;18.3;12.6;15.7;18;251
312;3.6;X;12.3;7.6;10.2;28;235
313;3.6;E;16.8;10.3;13.9;20;222
314;6.4;Z;16.7;10.3;13.8;20;317
315;2;X;9.4;6.5;8.1;35;186
316;2.4;X;10.1;6.8;8.6;33;198
317;2.4;X;10.5;6.7;8.8;32;202
318;2;X;9.9;7;8.6;33;198
319;2;E;14.2;9.8;12.2;23;195
320;2.4;X;10.6;7.5;9.2;31;212
321;2.4;X;10.2;7;8.8;32;202
322;1.4;X;8.4;5.9;7.3;39;168
323;1.4;X;8.5;5.8;7.3;39;168
324;5.7;X;17.3;10.8;14.4;20;331
325;3.6;X;13.9;9.8;12.1;23;278
326;3.6;E;17.7;13;15.6;18;250
327;3.6;X;13.7;9.4;11.8;24;271
328;3.6;E;19.2;13.1;16.5;17;264
329;2.4;X;12.7;9.1;11.1;25;255
330;3.6;X;14.5;9.9;12.4;23;285
331;3.6;X;14.2;9.4;12;24;276
332;3.6;E;18.9;12.9;16.2;17;259
333;1.4;X;8.5;6.9;7.8;36;179
334;1.4;X;8.5;6.9;7.8;36;179
335;1.4;X;8.7;6.9;7.9;36;182
336;1.4;X;7.9;6.3;7.2;39;166
337;1.4;X;8.5;6.9;7.8;36;179
338;1.4;X;8.7;6.9;7.9;36;182
339;1.4;X;7.6;5.9;6.8;42;156
340;1.4;X;8.5;6.9;7.8;36;179
341;1.4;X;10;7.2;8.7;32;200
342;1.4;X;9.3;7.2;8.4;34;193
343;2;X;5.6;6.4;6;47;138
344;4.6;X;17.7;14.4;16.2;17;373
345;4.6;E;24.1;19.2;21.9;13;350
346;5.4;X;19.3;14.7;17.2;16;396
347;5.4;E;24.9;19.6;22.5;13;360
348;4.6;X;18.6;14.6;16.8;17;386
349;4.6;E;25.5;20;23;12;368
350;6.8;X;23.9;17.8;21.2;13;488
351;5.4;X;20.6;15.5;18.3;15;421
352;5.4;E;26.7;20.5;23.9;12;382
353;2;X;11.3;7.9;9.8;29;225
354;3.5;X;12.6;8.7;10.8;26;248
355;3.5;X;13.3;9.3;11.5;25;264
356;3.7;X;13.7;10.4;12.2;23;281
357;1.6;X;10.4;7.4;9.1;31;209
358;2;X;10.9;8;9.6;29;221
359;2.5;X;10.9;7.5;9.4;30;216
360;1.6;X;10.5;7.9;9.3;30;214
361;2;X;11.2;8.5;10;28;230
362;5.4;X;18.2;13.3;16;18;368
363;5.4;E;24.5;18;21.6;13;346
364;2;X;11.8;8.3;10.2;28;235
365;3.5;X;14.8;10.7;13;22;299
366;3.5;X;13.7;9.7;11.9;24;274
367;3.5;E;18.3;12.9;15.9;18;254
368;3.5;X;14.3;10.3;12.5;23;288
369;3.5;E;18.9;13.9;16.7;17;267
370;3.5;X;14.5;10.6;12.7;22;292
371;3.5;X;14.6;10.6;12.8;22;294
372;6.2;X;18.3;12.9;15.9;18;366
373;3.5;X;15.9;11.3;13.8;20;317
374;3.5;X;15.4;11;13.4;21;308
375;6.2;X;20.1;14.4;17.5;16;402
376;3.7;X;14;10.3;12.3;23;283
377;3.7;E;18.8;13.7;16.5;17;264
378;3.7;X;14;10.3;12.3;23;283
379;3.7;E;18.8;13.7;16.5;17;264
380;5;X;16.4;12.3;14.6;19;336
381;5;E;22.1;16.7;19.7;14;315
382;5;X;16.4;12.3;14.6;19;336
383;5;E;22.1;16.7;19.7;14;315
384;3.7;X;15;11.4;13.4;21;308
385;3.7;E;20.2;15.3;18;16;288
386;3.7;X;15;11.4;13.4;21;308
387;3.7;E;20.2;15.3;18;16;288
388;5;X;16.8;12.6;14.9;19;343
389;5;E;22.4;17;20;14;320
390;5;X;16.7;12.5;14.8;19;340
391;5;E;22.4;16.9;19.9;14;318
392;6.2;X;20.4;15;18;16;414
393;1.6;X;8.5;6.5;7.6;37;175
394;1.6;X;8.6;6.4;7.6;37;175
395;1;X;7.5;5.5;6.6;43;152
396;1.6;X;8;5.8;7;40;161
397;1.6;X;8.9;6.8;8;35;184
398;3.5;X;13.2;9.4;11.5;25;264
399;3.5;X;13.7;10.2;12.1;23;278
400;3.5;X;14.8;10.4;12.8;22;294
401;2;X;10.2;7.4;8.9;32;205
402;2;X;8.8;6.4;7.7;37;177
403;2;E;11.7;8.5;10.3;27;165
404;2;X;8.9;6.4;7.8;36;179
405;2;E;11.7;8.5;10.3;27;165
406;2;X;9.1;6.6;8;35;184
407;2;E;11.9;8.9;10.6;27;170
408;2;X;8.4;5.8;7.2;39;166
409;2;E;11.6;8.3;10.1;28;162
410;1.5;X;10.1;6.6;8.5;33;196
411;1.6;X;9.4;6.4;8.1;35;186
412;2;X;10.5;7.1;9;31;207
413;2.5;X;10.5;7;8.9;32;205
414;1.5;X;9.5;6.3;8.1;35;186
415;2;X;10.9;7.5;9.4;30;216
416;2;X;5.3;5.7;5.5;51;126
417;3.7;X;12.1;7.8;10.2;28;235
418;3.7;X;12.7;8.1;10.6;27;244
419;5;X;13.3;9.3;11.5;25;264
420;5;X;15.4;9.4;12.7;22;292
421;5.8;Z;15.9;9.9;13.2;21;304
422;3.7;X;12.5;8.2;10.6;27;244
423;2;X;10.5;7.3;9.1;31;209
424;3.5;X;13.7;9.4;11.8;24;271
425;3.5;X;12.1;8.1;10.3;27;237
426;3.5;E;17;11.1;14.3;20;229
427;3.5;X;13;9.1;11.2;25;258
428;3.5;E;18.4;12.5;15.7;18;251
429;1.6;X;10.8;8;9.5;30;218
430;2.5;X;11.3;8.2;9.9;29;228
431;1.6;X;11.5;8.3;10.1;28;232
432;2.5;X;11.9;8.5;10.4;27;239
433;3.6;X;14.3;9.9;12.3;23;283
434;3.6;X;14.9;10.4;12.9;22;297
435;4.3;X;17.1;12.7;15.1;19;347
436;5.3;X;18;13.4;15.9;18;366
437;5.3;E;23.5;17.7;20.9;14;334
438;5.3;X;18.3;14.2;16.5;17;380
439;5.3;E;23.7;18.8;21.5;13;344
440;5.3;X;18.6;13.9;16.5;17;380
441;5.3;E;23.9;18.5;21.5;13;344
442;5.3;X;18.3;14.2;16.5;17;380
443;5.3;E;25.3;19.3;22.6;12;362
444;5.3;X;18.6;13.9;16.5;17;380
445;5.3;E;23.9;18.5;21.5;13;344
446;5.3;X;18.3;14.2;16.5;17;380
447;5.3;E;25.3;19.3;22.6;12;362
448;4.8;X;21.1;14.2;18;16;414
449;6;X;21.9;15;18.8;15;432
450;6;E;30;20.4;25.7;11;411
451;4.8;X;21.3;14.3;18.2;16;419
452;6;X;22.1;15;18.9;15;435
453;6;E;30.2;20.5;25.8;11;413
454;4.3;X;13.4;9.9;11.8;24;271
455;4.3;E;18.9;14.2;16.8;17;269
456;5.3;X;14.6;10.3;12.7;22;292
457;5.3;E;19.5;13.7;16.9;17;270
458;6.2;Z;16.3;11.4;14.1;20;324
459;4.3;X;14.2;10.6;12.6;22;290
460;4.3;E;20;15.1;17.8;16;285
461;5.3;X;14.9;10.6;13;22;299
462;5.3;E;19.9;14.2;17.3;16;277
463;6.2;Z;16.4;11.7;14.3;20;329
464;2.4;X;10.5;7.3;9.1;31;209
465;3.6;X;13.9;9.6;12;24;276
466;3.6;E;18.8;13.1;16.2;17;259
467;2.4;X;11.5;8.2;10;28;230
468;3.6;X;14.8;9.9;12.6;22;290
469;3.6;E;19.8;13.6;17;17;272
470;5.3;X;16;11.1;13.8;20;317
471;5.3;E;21.5;14.6;18.4;15;294
472;5.3;X;16;11.1;13.8;20;317
473;5.3;E;21.5;14.6;18.4;15;294
474;6.2;Z;17;11.8;14.7;19;338
475;6.2;E;23.3;16.1;20.1;14;322
476;6.2;Z;18.8;13.4;16.4;17;377
477;6.2;E;25.7;17.8;22.1;13;354
478;5.3;X;16;11.1;13.8;20;317
479;5.3;E;21.5;14.6;18.4;15;294
480;5.3;X;16;11.1;13.8;20;317
481;5.3;E;21.5;14.6;18.4;15;294
482;2.4;X;9;6.6;7.9;36;182
483;2.4;X;9.1;6.9;8.1;35;186
484;2.4;X;10.1;6.9;8.7;32;200
485;3.5;X;11;6.8;9.1;31;209
486;3.5;X;11.4;7.3;9.6;29;221
487;3.5;X;13;8.4;10.9;26;251
488;2;X;4.7;4.9;4.8;59;110
489;1.8;X;7.9;6;7;40;161
490;1.8;X;8.1;6.2;7.2;39;166
491;1.8;X;8.5;6.6;7.6;37;175
492;3.5;X;12.5;8.5;10.7;26;246
493;2.4;X;10.3;7.6;9.1;31;209
494;2.4;X;10.6;7.9;9.4;30;216
495;1.5;X;6.6;6;6.3;45;145
496;1.5;X;7.6;6.1;6.9;41;159
497;1.5;X;8.3;6.5;7.5;38;172
498;1.5;X;8.3;6.9;7.7;37;177
499;3.5;X;12.3;8.5;10.6;27;244
500;3.5;X;13.3;9.3;11.5;25;265
501;3.5;X;13.9;9.7;12;24;276
502;3.5;X;15.2;11.3;13.4;21;308
503;1.6;X;8.8;6.3;7.7;37;177
504;1.6;X;8.7;6.4;7.7;37;177
505;2;X;9.8;7.2;8.6;33;198
506;2;X;9.8;7;8.5;33;196
507;5;Z;15.7;10.2;13.2;21;304
508;3.8;X;13;8.7;11.1;25;255
509;3.3;X;13;9.1;11.2;25;258
510;3.3;X;13.3;9.5;11.6;24;267
511;2.4;X;11.6;8.7;10.3;27;237
512;2;X;12.9;9.7;11.5;25;264
513;2.4;X;12.5;9.4;11.1;25;255
514;2;X;11.4;7.5;9.6;29;221
515;2.4;X;9.8;7;8.5;33;196
516;2.4;X;6.5;5.9;6.2;46;143
517;2.4;X;6.6;5.9;6.3;45;145
518;2;X;10.2;8.2;9.3;30;214
519;2;X;11.4;8.6;10.1;28;232
520;2.4;X;11.3;8.3;10;28;230
521;2;X;11.4;9.3;10.5;27;242
522;2.4;X;11.6;9.3;10.6;27;244
523;1.6;X;8.6;6.6;7.7;37;177
524;1.6;X;9.1;6.7;8;35;184
525;1.6;X;9.9;7.5;8.8;32;202
526;1.6;X;9.7;7.1;8.5;33;196
527;3.7;Z;12;8;10.2;28;235
528;3.7;Z;12.6;8.7;10.8;26;248
529;3.5;Z;8.2;6.7;7.5;38;172
530;3.5;Z;8.7;7.5;8.2;34;189
531;3.7;Z;13.3;9.4;11.5;25;265
532;3.7;Z;13.6;9.3;11.7;24;269
533;3.7;Z;14.3;9.8;12.3;23;283
534;3.7;Z;12.9;8.9;11.1;25;255
535;3.7;Z;13.5;9.3;11.6;24;267
536;3.7;Z;12.8;8.9;11;26;253
537;5.6;Z;14.5;9.5;12.3;23;283
538;3.7;Z;13.2;9.6;11.6;24;267
539;5.6;Z;15;10.2;12.8;22;294
540;3.5;Z;8;7;7.6;37;175
541;3.7;Z;13.6;9.6;11.8;24;271
542;3.5;Z;11.9;9;10.6;27;244
543;3.5;Z;12.3;9.3;11;26;253
544;2.5;X;8.8;8.2;8.5;33;196
545;3.7;Z;14.5;10.7;12.8;22;294
546;5;Z;16.6;11.9;14.5;19;334
547;5.6;Z;17.4;12.1;15;19;345
548;3;Z;11.8;8.4;10.3;27;237
549;3;Z;12.2;8.7;10.6;27;244
550;5;Z;15;10.2;12.8;22;294
551;2;Z;12.3;8.2;10.5;27;242
552;3;Z;14.7;9.1;12.2;23;281
553;5;Z;15.7;10.3;13.3;21;306
554;5;E;21.3;14.1;18.1;16;290
555;5;Z;15.7;10.3;13.3;21;306
556;3;Z;14.6;9.6;12.4;23;285
557;5;Z;15.8;10.2;13.3;21;306
558;5;E;20.6;13.6;17.5;16;280
559;3;Z;14.7;9.6;12.4;23;285
560;5;Z;15.8;10.2;13.3;21;306
561;5;E;20.6;13.6;17.5;16;280
562;5;Z;15.8;10.2;13.3;21;306
563;5;Z;15.8;10.2;13.3;21;306
564;5;Z;15.1;10.6;13.1;22;301
565;5;Z;14.8;9.9;12.6;22;290
566;5;Z;15.9;10.9;13.7;21;315
567;5;Z;15.6;10.9;13.5;21;310
568;5;Z;15.9;10.9;13.7;21;315
569;5;Z;15.6;10.9;13.5;21;310
570;2.4;X;10.9;7.7;9.5;30;218
571;3.2;X;12.3;8.3;10.5;27;242
572;2.4;X;11.3;8.3;10;28;230
573;3.2;X;12.5;8.8;10.8;26;248
574;2.4;X;11.4;8.6;10.1;28;232
575;3.2;X;12.5;9.1;11;26;253
576;2.4;X;12.1;9.4;10.9;26;251
577;3.2;X;13.4;9.5;11.6;24;267
578;2;X;10.7;8.8;9.9;29;228
579;2;X;11.1;8.3;9.8;29;225
580;2;X;10.2;7.8;9.1;31;209
581;2.4;X;11.1;8.3;9.8;29;225
582;2.4;X;10.3;8.3;9.4;30;216
583;2.4;X;11.4;8.7;10.2;28;235
584;2.4;X;10.3;8.4;9.4;30;216
585;2.4;X;11.7;10.3;11.1;25;255
586;5.7;X;17.3;11.7;14.8;19;340
587;3;D;11.2;8.4;9.9;29;267
588;3.6;X;13.9;9.8;12.1;23;278
589;3.6;E;17.7;13;15.6;18;250
590;6.4;Z;18.5;12.6;15.8;18;363
591;2;X;10.7;8.8;9.9;29;228
592;2;X;11.1;8.3;9.8;29;225
593;2;X;10.2;7.8;9.1;31;209
594;2.4;X;11.1;8.3;9.8;29;225
595;2.4;X;10.3;8.3;9.4;30;216
596;2.4;X;11.4;8.7;10.2;28;235
597;2.4;X;10.3;8.4;9.4;30;216
